sequence,case_key,status,full_lp_allocated,projected_unified_gib,host_budget_gib,device_budget_gib,planning_nnz,paper_nnz,exact_reconstructed_nnz,int32_limit,nominal_unified_gib,nominal_80pct_gib,block_reasons
1,case2868rte:T48,PASS,True,24.11434723995626,82.65670165978372,82.36742858868092,,295998240,229507104,2147483647,121.68955612182617,97.35164489746094,
2,case2868rte:T64,PASS,True,32.168930461630225,80.81103820726275,80.52214660588652,,394957984,306303136,2147483647,121.68955612182617,97.35164489746094,
3,case2868rte:T96,PASS,True,48.30264448188245,80.44713134691119,80.15692748967558,,593316768,460334496,2147483647,121.68955612182617,97.35164489746094,
4,case9241pegase:T4,PASS,True,23.60573772341013,79.65938720665872,79.25476989708841,,373238888,342863272,2147483647,121.68955612182617,97.35164489746094,
5,case9241pegase:T6,FAIL,True,35.40958222001791,79.41333312913775,79.12420349102467,,559872262,514308838,2147483647,121.68955612182617,97.35164489746094,
6,case9241pegase:T16,MEMORY_BLOCKED,False,94.43497378379107,65.7840240476653,65.4961151117459,1687613820,1493149532,1371647068,2147483647,121.68955612182617,97.35164489746094,failed:within_host_safety_budget;failed:within_device_safety_budget
7,case9241pegase:T24,INDEX_BLOCKED,False,141.6626899316907,,,2531600260,2239903828,2057650132,2147483647,121.68955612182617,97.35164489746094,failed:signed_int32_csr_nnz_limit
8,case9241pegase:T32,INDEX_BLOCKED,False,188.89698643237352,,,3375704460,2986775884,2743770956,2147483647,121.68955612182617,97.35164489746094,failed:signed_int32_csr_nnz_limit
